webcam,left,top,x,y,orig_x,orig_y,ratio_new,ratio_orig
bassano,67,0,1146,857,1280,857,1.33722287,1.493582264
albisola,84,0,1112,857,1280,857,1.297549592,1.493582264
monfalcone,256,183,768,491,1280,857,1.564154786,1.493582264
riccione,70,0,1140,857,1280,857,1.330221704,1.493582264
rimini,70,0,1140,857,1280,857,1.330221704,1.493582264
torbole,40,90,1200,677,1280,857,1.772525849,1.493582264
malcesine,42,94,1196,669,1280,857,1.7877429,1.493582264
thuile,240,125,800,607,1280,857,1.317957166,1.493582264
thuile2,240,125,800,607,1280,857,1.317957166,1.493582264
campegli,0,68,1280,721,1280,857,1.775312067,1.493582264
nw_egypt,70,0,1140,857,1280,857,1.330221704,1.493582264
nw_alpago,70,0,1140,857,1280,857,1.330221704,1.493582264
nw_zacinto,320,185,640,487,1280,857,1.314168378,1.493582264
nw_portodiandora,0,70,1280,717,1280,857,1.785216179,1.493582264
nw_montalt,0,70,1280,717,1280,857,1.785216179,1.493582264
nw_alvarmontseny,0,70,1280,717,1280,857,1.785216179,1.493582264
nw_veulettes,0,70,1280,717,1280,857,1.785216179,1.493582264
nw_veulettes2,0,70,1280,717,1280,857,1.785216179,1.493582264
nw_poperinge,320,185,640,487,1280,857,1.314168378,1.493582264
nw_almerehaven,10,0,1260,857,1280,857,1.470245041,1.493582264
nw_dieeksepark,0,70,1280,717,1280,857,1.785216179,1.493582264
